ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
100,26820,203,128,13,9,89,26,297,"Idaho Falls, ID Metro Area",136057,67788,68269,26820,12.8,22412,2592,4533,5447,1847,7768,2743,1119,2345,8092,12249
101,26900,547,503,828,305,193,315,1553,"Indianapolis-Carmel-Anderson, IN Metro Area",1931182,943352,987830,26900,14.6,27778,6039,52283,117877,29179,109245,53077,16514,62862,98876,205576
102,26980,1530,1231,112,176,932,250,2552,"Iowa City, IA Metro Area",158708,79081,79627,26980,16.4,30568,1733,3726,7450,1722,8411,3012,1524,4629,6878,34167
103,27100,375,361,186,87,56,167,708,"Jackson, MI Metro Area",159927,81870,78057,27100,17.5,22879,513,3435,12268,1551,7930,3142,877,3177,5208,14961
104,27140,530,640,94,270,189,155,1197,"Jackson, MS Metro Area",574998,275827,299171,27140,19.9,24311,3534,14545,21582,7127,28015,12127,5627,16313,21213,67664
105,27180,339,230,16,126,144,193,549,"Jackson, TN Metro Area",130233,61748,68485,27180,19.9,22360,812,3118,8076,1599,7029,2529,710,2242,4149,15090
106,27340,54,99,12,24,9,77,236,"Jacksonville, NC Metro Area",182921,98843,84078,27340,14.7,21583,752,4777,1912,749,8067,2470,975,2412,5064,12655
107,27620,502,451,110,79,228,88,997,"Jefferson City, MO Metro Area",150440,76821,73619,27620,13.3,24296,1748,5182,5675,1612,7351,3541,1501,4056,4861,15532
108,27740,443,307,20,120,49,497,932,"Johnson City, TN Metro Area",200271,97558,102713,27740,19.8,23720,738,5731,10540,1851,11176,3373,1447,4185,6712,26546
109,27780,236,183,214,50,7,217,735,"Johnstown, PA Metro Area",140835,69499,71336,27780,14.9,23191,1154,3372,5813,1564,6977,3499,871,3020,4346,17334
110,27860,153,99,1,13,52,21,233,"Jonesboro, AR Metro Area",124194,60689,63505,27860,22.1,22041,1847,4137,7219,1280,7093,2345,823,2587,2959,14490
111,27900,997,875,27,44,694,236,1620,"Joplin, MO Metro Area",175679,86090,89589,27900,16.8,22053,1598,4801,13771,2167,10488,4455,1914,3119,5884,17833
112,27980,676,771,14,61,477,160,1126,"Kahului-Wailuku-Lahaina, HI Metro Area",158887,79713,79174,27980,11.4,29505,2233,6369,2023,1471,9286,4343,933,5213,8249,13942
